Using device: cuda
Loading embedding model and tokenizer...
Original data size: 36718
Filtered data size: 17148
Training Model 0...
Holdout evaluation before iterations:
Prompt:  However , as Hung notes , he " is the only Chinese poet whose influence grew with time " , and his works began to increase in popularity in the ninth century . Early positive comments came from Bai Juyi , who praised the moral sentiments of some of Du Fu 's works ( although he found these in only a
Candidate 1:  few years or so) , " It seems to me that it is because his poems are well recorded in the English language . Indeed, it is said that there are no Chinese poems in English , but many are published in Chinese , with the exception of some of the English poems " , " and " , " and ",
Candidate 2:  short time ). Most important also some reviews come from the Chinese scholar Zhongnong Huang, who expressed his love of Du Fu 's works. Although Zhongnong Huang's comments about the "cultural vitality" of Du Fu 's works have been met with many negative criticisms, his views are often cited as
Candidate 3:  limited amount , and did not discuss all of it ). His works were not included in the list of Chinese Poetry Poems but became their own special style . Other critics (who were of the opinion that Chinese prose poetry did not exist), in particular Jiang Yang (who saw "literary culture" in general as one
Prompt:  In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed " Scott Parry " in the episode , " In Safe Hands " . Boulter starred as " Scott " in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court
Candidate 1:  . Later he played the role of David in the play The Devil Wears Prada " and again played as " David , , in the play . Later , in 2001 at the Royal Court
Candidate 2:  in London - a private meeting between the late actor and the late filmmaker, Michael Crichton , who shot the play in the UK.

On the day after his death, the Duchess published a statement written by her late daughter, Mary Catherine, that was dated 25th February 2007. Her son, David,
Candidate 3:  House in London ! . Boulter is often seen on set in all the parts of the play: on the set, with the audience , in the dressing room , and as actors on the set. " It is noted that Boulter attended a number of theatrical productions in which it was featured ! He is also
Prompt:  He had a recurring role in 2003 on two episodes of The Bill , as character " Connor Price " . In 2004 Boulter landed a role as " Craig " in the episode " Teddy 's Story " of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter
Candidate 1: 's first major television experience was in 2007 as the film/video game editor for the Rockstar Games team. After that role, he became the executive producer of the film/video game Rockstar Games where he edited the original concept art and game designs for the movie, " The Long Firm ", about a company called Rock
Candidate 2:  also acted in the same episode as " .

References
Candidate 3:  became one of the most acclaimed actresses in the world in 2005 when she appeared in an episode of the HBO show Grey's Anatomy where she appeared as a woman in a wheelchair.

In 2006 and 2007, Boulter played the recurring role of one of Stephen Colbert's favorite characters The Colbert Report. She was
{'loss': 4.2246, 'grad_norm': 25.234609603881836, 'learning_rate': 4.9937554639690275e-05, 'epoch': 0.0}
{'loss': 4.0638, 'grad_norm': 19.64835548400879, 'learning_rate': 4.987510927938055e-05, 'epoch': 0.01}
{'loss': 4.0951, 'grad_norm': 19.643463134765625, 'learning_rate': 4.981266391907082e-05, 'epoch': 0.01}
{'loss': 3.9592, 'grad_norm': 23.676639556884766, 'learning_rate': 4.9750218558761085e-05, 'epoch': 0.01}
{'loss': 3.9949, 'grad_norm': 19.894603729248047, 'learning_rate': 4.968777319845136e-05, 'epoch': 0.02}
{'loss': 3.9353, 'grad_norm': 20.32756805419922, 'learning_rate': 4.962532783814163e-05, 'epoch': 0.02}
{'loss': 4.0415, 'grad_norm': 20.12095832824707, 'learning_rate': 4.95628824778319e-05, 'epoch': 0.03}
{'loss': 3.7992, 'grad_norm': 18.987905502319336, 'learning_rate': 4.950043711752217e-05, 'epoch': 0.03}
{'loss': 3.7519, 'grad_norm': 16.841033935546875, 'learning_rate': 4.943799175721244e-05, 'epoch': 0.03}
{'loss': 3.8777, 'grad_norm': 20.042959213256836, 'learning_rate': 4.937554639690271e-05, 'epoch': 0.04}
{'loss': 3.8917, 'grad_norm': 19.68564224243164, 'learning_rate': 4.9313101036592985e-05, 'epoch': 0.04}
{'loss': 3.827, 'grad_norm': 20.757347106933594, 'learning_rate': 4.925065567628325e-05, 'epoch': 0.04}
{'loss': 3.5887, 'grad_norm': 24.395143508911133, 'learning_rate': 4.9188210315973523e-05, 'epoch': 0.05}
{'loss': 3.8088, 'grad_norm': 19.494205474853516, 'learning_rate': 4.9125764955663796e-05, 'epoch': 0.05}
{'loss': 3.8747, 'grad_norm': 18.63166046142578, 'learning_rate': 4.906331959535407e-05, 'epoch': 0.06}
{'loss': 3.8825, 'grad_norm': 19.046762466430664, 'learning_rate': 4.9000874235044334e-05, 'epoch': 0.06}
{'loss': 3.9043, 'grad_norm': 19.506128311157227, 'learning_rate': 4.893842887473461e-05, 'epoch': 0.06}
{'loss': 3.8108, 'grad_norm': 17.572084426879883, 'learning_rate': 4.887598351442488e-05, 'epoch': 0.07}
{'loss': 3.725, 'grad_norm': 19.936697006225586, 'learning_rate': 4.881353815411515e-05, 'epoch': 0.07}
{'loss': 3.8719, 'grad_norm': 17.74595832824707, 'learning_rate': 4.8751092793805424e-05, 'epoch': 0.07}
{'loss': 3.7941, 'grad_norm': 19.416128158569336, 'learning_rate': 4.8688647433495696e-05, 'epoch': 0.08}
{'loss': 3.6926, 'grad_norm': 19.3714599609375, 'learning_rate': 4.862620207318597e-05, 'epoch': 0.08}
{'loss': 3.7495, 'grad_norm': 17.65777587890625, 'learning_rate': 4.8563756712876234e-05, 'epoch': 0.09}
{'loss': 3.8472, 'grad_norm': 20.395423889160156, 'learning_rate': 4.8501311352566506e-05, 'epoch': 0.09}
{'loss': 3.7242, 'grad_norm': 22.920814514160156, 'learning_rate': 4.843886599225678e-05, 'epoch': 0.09}
{'loss': 3.8253, 'grad_norm': 18.478708267211914, 'learning_rate': 4.837642063194705e-05, 'epoch': 0.1}
{'loss': 3.8051, 'grad_norm': 16.930139541625977, 'learning_rate': 4.831397527163732e-05, 'epoch': 0.1}
{'loss': 3.6961, 'grad_norm': 17.670679092407227, 'learning_rate': 4.825152991132759e-05, 'epoch': 0.1}
